"ID","subspecies","authority","code","comment","status","species","species_id","inaturalist","taxonID","notes"
20098,"Chlorochrysa calliparaea fulgentissima","Chapman, 1901",,,,"Chlorochrysa calliparaea",10397,19672,"https://www.inaturalist.org/taxa/718127",
13080,"Chlorocichla flaviventris centralis","Reichenow, 1887",,,,"Chlorocichla flaviventris",7235,22380,"https://www.inaturalist.org/taxa/720995",
13082,"Chlorocichla flaviventris flaviventris","(Smith, A, 1834)",,,,"Chlorocichla flaviventris",7235,16367,"https://www.inaturalist.org/taxa/601667",
13081,"Chlorocichla flaviventris occidentalis","Sharpe, 1882",,,,"Chlorocichla flaviventris",7235,17824,"https://www.inaturalist.org/taxa/697975",
13078,"Chlorocichla laetissima laetissima","(Sharpe, 1899)",,,,"Chlorocichla laetissima",7233,22381,"https://www.inaturalist.org/taxa/720996",
13079,"Chlorocichla laetissima schoutedeni","Prigogine, 1954",,,,"Chlorocichla laetissima",7233,22382,"https://www.inaturalist.org/taxa/720997",
18686,"Chlorodrepanis virens virens","(Gmelin, JF, 1788)",,,,"Chlorodrepanis virens",9763,15173,"https://www.inaturalist.org/taxa/512282",
18685,"Chlorodrepanis virens wilsoni","(Rothschild, 1893)",,,,"Chlorodrepanis virens",9763,15172,"https://www.inaturalist.org/taxa/512281",
20242,"Chlorophanes spiza argutus","Bangs & Barbour, 1922",,,,"Chlorophanes spiza",10463,22383,"https://www.inaturalist.org/taxa/720998",
20247,"Chlorophanes spiza axillaris","Zimmer, JT, 1929",,,,"Chlorophanes spiza",10463,22384,"https://www.inaturalist.org/taxa/720999",
20246,"Chlorophanes spiza caerulescens","Cassin, 1865",,,,"Chlorophanes spiza",10463,22385,"https://www.inaturalist.org/taxa/721000",
20243,"Chlorophanes spiza exsul","von Berlepsch & Taczanowski, 1884",,,,"Chlorophanes spiza",10463,22386,"https://www.inaturalist.org/taxa/721001",
20241,"Chlorophanes spiza guatemalensis","Sclater, PL, 1861",,,,"Chlorophanes spiza",10463,22387,"https://www.inaturalist.org/taxa/721002",
